Team,Rat,Pwr,Off,Def,HFA,SoS,SSF,EW,EL
Portland,7.53,52.67,95.68,22.07,2.6,43.99,43.99,0.0,0.0
Harvard,7.53,55.56,91.13,29.5,2.72,45.0,44.53,0.98,0.02
Princeton,7.52,57.44,91.71,30.81,2.6,46.66,46.58,0.82,0.18
MTSU,7.5,57.35,88.63,33.8,2.77,44.59,44.66,1.58,0.42
Seton Hall,7.48,54.42,91.07,28.43,2.72,50.17,50.17,0.0,0.0
Grand Canyon,7.47,52.34,91.75,25.67,2.67,39.55,39.36,1.72,0.28
Marquette,7.45,57.32,91.72,30.68,2.82,48.73,48.73,0.0,0.0
James Madison,7.45,51.86,92.38,24.56,2.64,44.94,44.94,0.0,0.0
Gonzaga,7.44,56.89,94.75,27.22,2.72,48.45,48.45,0.0,0.0
Virginia,7.42,56.64,96.06,25.65,2.81,54.29,54.29,0.0,0.0
UT San Antonio,7.4,50.03,87.84,27.27,2.68,44.34,44.54,0.5,0.5
Florida,7.39,57.2,98.84,23.43,2.7,55.63,55.63,0.0,0.0
Auburn,7.39,57.92,93.28,29.71,2.78,56.84,56.84,0.0,0.0
Villanova,7.39,55.73,91.75,29.06,2.65,53.44,53.44,0.0,0.0
Montana St,7.38,51.44,88.79,27.72,2.86,40.83,40.83,0.0,0.0
George Mason,7.37,53.5,92.58,26.0,2.65,43.33,43.33,0.0,0.0
FGCU,7.35,54.18,90.83,28.43,2.49,36.87,36.87,0.0,0.0
Drake,7.34,55.06,99.73,20.4,2.78,47.96,47.63,1.62,0.38
Miami FL,7.33,55.84,94.14,26.78,2.76,54.59,54.59,0.0,0.0
Texas Tech,7.33,55.31,91.02,29.36,2.87,54.73,54.73,0.0,0.0
Missouri St,7.31,53.07,92.31,25.83,2.72,45.48,45.09,1.66,0.34
Clemson,7.3,55.4,92.47,28.01,2.77,55.48,55.48,0.0,0.0
Syracuse,7.3,56.99,96.83,25.23,2.78,55.35,55.35,0.0,0.0
Belmont,7.3,54.25,92.57,26.75,2.7,49.98,49.15,1.85,0.15
South Florida,7.28,53.73,90.24,28.57,2.72,48.35,48.35,0.0,0.0
Washington St,7.27,55.58,93.1,27.56,2.69,48.91,48.91,0.0,0.0
Cincinnati,7.26,51.61,90.63,26.06,2.63,54.47,54.47,0.0,0.0
Boston College,7.26,54.85,97.21,22.72,2.93,53.47,53.47,0.0,0.0
WI Green Bay,7.26,51.92,87.66,29.33,2.68,40.72,40.72,0.0,0.0
Ball St,7.25,52.29,91.68,25.69,2.68,44.88,44.41,1.71,0.29
Missouri,7.24,55.77,93.98,26.87,2.74,53.71,53.71,0.0,0.0
Murray St,7.23,52.35,101.8,15.62,2.64,45.88,45.29,1.73,0.27
BYU,7.23,54.37,93.56,25.89,2.8,54.71,54.71,0.0,0.0
St Joseph's PA,7.21,53.39,90.65,27.82,2.6,44.18,44.18,0.0,0.0
Northern Arizona,7.19,49.0,98.06,16.01,2.74,44.11,44.11,0.0,0.0
Fairfield,7.18,49.92,90.32,24.68,2.51,36.99,37.11,1.55,0.45
Georgia,7.18,54.27,90.87,28.47,2.73,54.91,54.91,0.0,0.0
Texas A&M,7.16,54.75,90.88,28.95,2.95,56.04,56.04,0.0,0.0
Oregon St,7.13,56.33,91.11,30.3,2.75,48.46,48.46,0.0,0.0
North Texas,7.13,49.67,90.87,23.88,2.69,43.83,44.1,0.44,0.56
Penn St,7.11,55.65,98.51,22.21,2.88,54.52,54.52,0.0,0.0
Liberty,7.1,49.54,91.0,23.62,2.71,42.8,43.33,0.97,1.03
Temple,7.1,50.59,91.04,24.63,2.69,47.56,47.4,0.71,0.29
Wyoming,7.09,50.68,86.99,28.77,2.84,46.18,46.51,0.36,0.64
