Team,Record,Rat,Pwr,Off,Def,HFA,SoS,SSF,EW,EL
Butler,0.448,7.83,41.18,96.69,21.24,2.88,40.41,40.8,0.68,1.32
George Mason,0.759,7.81,37.35,88.44,25.67,2.91,32.2,32.01,1.46,0.54
Colorado,0.379,7.78,41.2,93.82,24.14,2.98,41.13,41.45,0.73,1.27
South Carolina,0.414,7.78,40.53,92.18,25.1,2.97,40.52,40.99,0.59,1.41
Florida St,0.552,7.76,39.09,95.49,20.36,3.01,37.41,37.65,0.88,1.12
Georgetown,0.552,7.75,37.68,92.78,21.66,2.81,37.77,37.93,0.84,1.16
Providence,0.414,7.75,40.94,94.96,22.74,2.97,39.65,39.65,1.07,0.93
Nevada,0.552,7.74,40.61,93.3,24.06,2.92,35.74,36.3,0.79,1.21
Virginia,0.483,7.74,39.03,87.7,28.09,2.93,38.53,38.49,1.07,0.93
Grand Canyon,0.786,7.72,37.55,93.48,20.83,2.78,29.13,28.95,1.59,0.41
Liberty,0.793,7.72,36.68,89.31,24.13,2.76,28.98,29.45,1.05,0.95
Washington,0.448,7.71,38.32,95.09,19.99,2.92,39.74,40.0,0.68,1.32
Washington St,0.581,7.71,38.65,95.93,19.48,2.92,35.56,35.56,0.0,0.0
Oregon St,0.645,7.7,38.16,93.13,21.79,2.92,33.31,33.31,0.0,0.0
St Joseph's PA,0.655,7.68,37.76,93.58,20.94,2.8,33.05,32.86,1.44,0.56
UNLV,0.552,7.67,37.76,90.75,23.77,2.84,36.12,36.64,0.61,1.39
McNeese St,0.806,7.66,35.98,91.66,21.07,2.77,27.92,27.92,0.0,0.0
Yale,0.731,7.65,38.65,94.77,20.64,2.88,29.47,29.53,0.72,0.28
Georgia Tech,0.517,7.63,37.19,93.08,20.86,2.86,36.54,36.65,0.93,1.07
FL Atlantic,0.552,7.62,38.4,97.64,17.52,2.89,34.8,34.83,1.18,0.82
High Point,0.839,7.6,34.45,95.18,16.03,2.83,26.43,26.43,0.0,0.0
Akron,0.793,7.6,35.24,94.85,17.15,2.84,27.95,27.87,1.46,0.54
