,Rk,Team,Conf,NetRtg,ORtg,DRtg,AdjT,Luck,SS_NetRtg,SS_ORtg,SS_DRtg,NCSOS_NetRtg
220,231.0,SIUE,OVC,-5.56,101.9,107.5,66.5,0.044,-8.64,102.1,110.8,-2.74
221,232.0,South Dakota,Sum,-5.59,110.4,116.0,74.7,0.084,-3.08,107.5,110.6,-3.17
222,233.0,UC Davis,BW,-5.66,97.2,102.9,67.6,0.084,0.33,108.1,107.8,2.52
223,234.0,Missouri St.,MVC,-5.71,102.1,107.8,64.1,-0.11,1.55,109.5,108.0,0.92
224,235.0,UMass Lowell,AE,-5.75,109.4,115.1,69.1,0.006,-6.99,102.1,109.1,-2.44
225,236.0,UT Rio Grande Valley,Slnd,-6.14,105.0,111.1,70.7,0.007,-2.8,105.3,108.1,0.84
226,237.0,Kansas City,Sum,-6.2,100.9,107.1,65.0,-0.102,-1.33,109.1,110.4,1.5
227,238.0,Richmond,A10,-6.24,103.4,109.7,64.0,-0.008,3.22,108.8,105.6,-1.92
228,239.0,Pepperdine,WCC,-6.35,105.4,111.8,69.7,-0.061,2.6,108.2,105.6,-3.49
229,240.0,Northern Kentucky,Horz,-6.36,102.2,108.6,66.1,0.063,-1.89,107.2,109.1,4.19
230,243.0,La Salle,A10,-6.55,102.8,109.4,69.1,0.047,2.24,108.2,106.0,-0.78
231,244.0,Jackson St.,SWAC,-6.55,101.6,108.2,68.9,-0.003,-0.95,105.9,106.9,17.18
232,245.0,Manhattan,MAAC,-6.56,108.8,115.3,67.7,0.009,-7.69,102.1,109.8,-5.12
233,246.0,Northern Arizona,BSky,-6.91,105.7,112.6,67.1,0.011,-4.65,106.0,110.7,-4.28
234,247.0,Georgia Southern,SB,-7.07,103.0,110.1,69.9,0.074,-3.92,105.8,109.7,-2.33
235,248.0,Fresno St.,MWC,-7.07,101.0,108.1,71.0,-0.025,6.97,110.9,104.0,-1.31
236,249.0,Incarnate Word,Slnd,-7.08,107.0,114.0,64.6,-0.02,-5.14,103.8,108.9,-4.6
237,250.0,Toledo,MAC,-7.12,110.9,118.0,68.4,0.13,-1.99,106.4,108.4,4.11
238,251.0,Evansville,MVC,-7.12,98.9,106.1,67.1,-0.023,1.75,109.3,107.5,1.68
239,252.0,American,PL,-7.19,102.3,109.5,63.6,0.128,-5.52,104.5,110.0,2.16
240,253.0,Marist,MAAC,-7.2,99.0,106.2,64.4,0.099,-10.23,101.6,111.9,-10.68
241,254.0,FIU,CUSA,-7.45,97.8,105.2,69.1,-0.071,0.31,107.6,107.3,-5.26
242,255.0,Mercer,SC,-7.51,100.7,108.2,71.6,-0.031,-1.67,106.9,108.6,-1.37
243,256.0,Sacred Heart,MAAC,-7.66,105.7,113.4,70.5,-0.03,-7.02,102.8,109.8,-1.89
244,257.0,Tennessee St.,OVC,-7.73,102.3,110.1,71.2,-0.058,-7.66,102.0,109.7,0.51
